time	V(vcc)	V(vin)
3.164827582196702e-003	9.000000e+000	-8.741767e-003
3.176810733784006e-003	9.000000e+000	-6.433313e-003
3.188263477207143e-003	9.000000e+000	-3.504081e-003
3.197657136928122e-003	9.000000e+000	-7.191995e-004
3.206394335498758e-003	9.000000e+000	1.957957e-003
3.215139738762372e-003	9.000000e+000	4.490827e-003
3.224082853639459e-003	9.000000e+000	6.734637e-003
3.232733944555784e-003	9.000000e+000	8.452167e-003
3.239006974758532e-003	9.000000e+000	9.355325e-003
3.242774836460559e-003	9.000000e+000	9.714819e-003
3.245948035479796e-003	9.000000e+000	9.895236e-003
3.249022138202017e-003	9.000000e+000	9.967901e-003
3.252636450253868e-003	9.000000e+000	9.924449e-003
3.257291087422153e-003	9.000000e+000	9.655357e-003
3.264832258239501e-003	9.000000e+000	8.741037e-003
3.276818034733091e-003	9.000000e+000	6.431664e-003
3.288267122435406e-003	9.000000e+000	3.502975e-003
3.297674109872607e-003	9.000000e+000	7.139415e-004
3.306424460837512e-003	9.000000e+000	-1.966944e-003
3.315182889486154e-003	9.000000e+000	-4.502550e-003
3.324124811541118e-003	9.000000e+000	-6.743643e-003
3.332800663647594e-003	9.000000e+000	-8.464179e-003
3.338984639744008e-003	9.000000e+000	-9.353628e-003
3.342758234855348e-003	9.000000e+000	-9.713641e-003
3.345927388476527e-003	9.000000e+000	-9.894318e-003
3.349017531891290e-003	9.000000e+000	-9.967691e-003
3.352634736801485e-003	9.000000e+000	-9.924470e-003
3.357288301064222e-003	9.000000e+000	-9.655591e-003
3.364827766870722e-003	9.000000e+000	-8.741738e-003
3.376811022128846e-003	9.000000e+000	-6.433248e-003
3.388263621145156e-003	9.000000e+000	-3.504049e-003
3.397656441817036e-003	9.000000e+000	-7.194158e-004
3.406392845961654e-003	9.000000e+000	1.957514e-003
3.415137460843205e-003	9.000000e+000	4.490209e-003
3.424080623248321e-003	9.000000e+000	6.734136e-003
3.432731679180991e-003	9.000000e+000	8.451782e-003
3.439005917666915e-003	9.000000e+000	9.355200e-003
3.442774050679096e-003	9.000000e+000	9.714764e-003
3.445947058240461e-003	9.000000e+000	9.895192e-003
3.449021920172464e-003	9.000000e+000	9.967891e-003
3.452636369151670e-003	9.000000e+000	9.924450e-003
3.457290955536629e-003	9.000000e+000	9.655368e-003
3.464832045652191e-003	9.000000e+000	8.741071e-003
3.476817702813661e-003	9.000000e+000	6.431739e-003
3.488266956683079e-003	9.000000e+000	3.503014e-003
3.497674796415716e-003	9.000000e+000	7.137276e-004
3.506425952455143e-003	9.000000e+000	-1.967388e-003
3.515185180152439e-003	9.000000e+000	-4.503170e-003
3.524127054518335e-003	9.000000e+000	-6.744148e-003
3.532802800880812e-003	9.000000e+000	-8.464542e-003
3.538985597049528e-003	9.000000e+000	-9.353743e-003
3.542758946378384e-003	9.000000e+000	-9.713692e-003
3.545928273395964e-003	9.000000e+000	-9.894357e-003
3.549017729307017e-003	9.000000e+000	-9.967701e-003
3.552634810236320e-003	9.000000e+000	-9.924469e-003
3.557288420481548e-003	9.000000e+000	-9.655582e-003
3.564827959361870e-003	9.000000e+000	-8.741708e-003
3.576811322678808e-003	9.000000e+000	-6.433180e-003
3.588263771178177e-003	9.000000e+000	-3.504015e-003
3.597655729177399e-003	9.000000e+000	-7.196377e-004
3.606391316703932e-003	9.000000e+000	1.957058e-003
3.615135121170961e-003	9.000000e+000	4.489574e-003
3.624078332448280e-003	9.000000e+000	6.733623e-003
3.632729352421989e-003	9.000000e+000	8.451387e-003
3.639004858762305e-003	9.000000e+000	9.355073e-003
3.642773263554518e-003	9.000000e+000	9.714708e-003
3.645946079329011e-003	9.000000e+000	9.895150e-003
3.649021701770766e-003	9.000000e+000	9.967881e-003
3.652636287911015e-003	9.000000e+000	9.924451e-003
3.657290823425938e-003	9.000000e+000	9.655379e-003
3.664831832701854e-003	9.000000e+000	8.741104e-003
3.676817370327026e-003	9.000000e+000	6.431814e-003
3.688266790650473e-003	9.000000e+000	3.503052e-003
3.697675505930154e-003	9.000000e+000	7.135068e-004
3.706427489380376e-003	9.000000e+000	-1.967845e-003
3.715187538276193e-003	9.000000e+000	-4.503810e-003
3.724129363358988e-003	9.000000e+000	-6.744666e-003
3.732805060687602e-003	9.000000e+000	-8.464927e-003
3.738986595302518e-003	9.000000e+000	-9.353863e-003
3.742759688339848e-003	9.000000e+000	-9.713745e-003
3.745929196170078e-003	9.000000e+000	-9.894399e-003
3.749017935168485e-003	9.000000e+000	-9.967710e-003
3.752634886812782e-003	9.000000e+000	-9.924468e-003
3.757288545007677e-003	9.000000e+000	-9.655572e-003
3.764828160087932e-003	9.000000e+000	-8.741677e-003
3.776811636086170e-003	9.000000e+000	-6.433109e-003
3.788263927632160e-003	9.000000e+000	-3.503979e-003
3.797654997829755e-003	9.000000e+000	-7.198654e-004
3.806389745126074e-003	9.000000e+000	1.956591e-003
3.815132715736559e-003	9.000000e+000	4.488921e-003
3.824075977216127e-003	9.000000e+000	6.733095e-003
3.832726960195424e-003	9.000000e+000	8.450979e-003
3.839003796841151e-003	9.000000e+000	9.354945e-003
3.842772474192208e-003	9.000000e+000	9.714652e-003
3.845945097632843e-003	9.000000e+000	9.895105e-003
3.849021482748700e-003	9.000000e+000	9.967871e-003
3.852636206439568e-003	9.000000e+000	9.924452e-003
3.857290690939931e-003	9.000000e+000	9.655390e-003
3.864831619146462e-003	9.000000e+000	8.741137e-003
3.876817036895293e-003	9.000000e+000	6.431890e-003
3.888266624148908e-003	9.000000e+000	3.503091e-003
3.897676239726071e-003	9.000000e+000	7.132782e-004
3.906429074347651e-003	9.000000e+000	-1.968317e-003
3.915189968005045e-003	9.000000e+000	-4.504469e-003
3.924131742130422e-003	9.000000e+000	-6.745199e-003
3.932807448534632e-003	9.000000e+000	-8.465332e-003
3.938987636534005e-003	9.000000e+000	-9.353988e-003
3.942760462249837e-003	9.000000e+000	-9.713800e-003
3.945930158676771e-003	9.000000e+000	-9.894441e-003
3.949018149894740e-003	9.000000e+000	-9.967720e-003
3.952634966686745e-003	9.000000e+000	-9.924467e-003
3.957288674896082e-003	9.000000e+000	-9.655560e-003
3.964828369457475e-003	9.000000e+000	-8.741644e-003
3.976811962988813e-003	9.000000e+000	-6.433035e-003
3.988264090825831e-003	9.000000e+000	-3.503941e-003
3.997654246526392e-003	9.000000e+000	-7.200993e-004
4.006388128500878e-003	9.000000e+000	1.956110e-003
4.015130240344335e-003	9.000000e+000	4.488250e-003
4.024073553443795e-003	9.000000e+000	6.732551e-003
4.032724498307943e-003	9.000000e+000	8.450560e-003
4.039002730737614e-003	9.000000e+000	9.354817e-003
4.042771681725606e-003	9.000000e+000	9.714595e-003
4.045944112074234e-003	9.000000e+000	9.895062e-003
